,visitNumber,visitId,date,visits,hits,pageviews,timeOnSite,bounces,transactions,transactionRevenue,newVisits,screenviews,uniqueScreenviews,timeOnScreen,totalTransactionRevenue,source,medium,browser,operatingSystem,isMobile,deviceCategory,continent,country,city,hitNumber,time,hour,minute,searchKeyword,searchCategory,pagePath,hostname,pageTitle,transactionId,transactionRevenue_1,currencyCode,transactionCoupon,productName,productCategory,type,fullVisitorId,userId,clientId
289204,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,2,32064,0,18,,,/google+redesign/apparel/men++s/men++s+t+shirts,shop.googlemerchandisestore.com,Men's-T-Shirts,,,USD,,,,PAGE,6295937732413829157,,
289205,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,4,49564,0,19,,,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,shop.googlemerchandisestore.com,Men's-T-Shirts,,,,,,,PAGE,6295937732413829157,,
289206,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,5,62550,0,19,,,/google+redesign/apparel/men++s/men++s+t+shirts,shop.googlemerchandisestore.com,Men's-T-Shirts,,,USD,,,,EVENT,6295937732413829157,,
289207,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,7,74128,0,19,,,/signin.html,shop.googlemerchandisestore.com,The Google Merchandise Store - Log In,,,,,,,PAGE,6295937732413829157,,
383907,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,6,67254,0,19,,,/basket.html,shop.googlemerchandisestore.com,Shopping Cart,,,,,,,PAGE,6295937732413829157,,
573826,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,1,0,0,18,,,/home,shop.googlemerchandisestore.com,Home,,,,,,,PAGE,6295937732413829157,,
573827,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,3,49561,0,19,,,/google+redesign/apparel/men++s/men++s+t+shirts,shop.googlemerchandisestore.com,Men's-T-Shirts,,,,,,,EVENT,6295937732413829157,,
573828,1,1470035892,20160801,1,8,6.0,82.0,,,,1.0,,,,,google,organic,Safari,Macintosh,False,desktop,Asia,Vietnam,Ho Chi Minh City,8,81757,0,19,,,/register.html,shop.googlemerchandisestore.com,The Google Merchandise Store - Register,,,,,,,PAGE,6295937732413829157,,
